Date,Min,Max,Rain,Rad
2011/1/1,-8.7,7.6,0,2.9
2011/1/2,-0.7,1.3,0,4.4
2011/1/3,3.1,5.1,0,1.4
2011/1/4,-10.4,3.1,0,4.1
2011/1/5,-2.8,6.7,8.2,1.6
2011/1/6,3.4,3.8,0,4.4
2011/1/7,3.7,9,0,0.8
2011/1/8,0.6,8,0,0.8
2011/1/9,5.7,11.9,0.1,1.2
2011/1/10,-0.2,2.1,2.3,2.8
2011/1/11,2.3,4.3,0,2.8
2011/1/12,-2.4,8,0.1,2.5
2011/1/13,-2.2,0.2,0.1,3.1
2011/1/14,-3.2,3.7,0,1.3
2011/1/15,-1.3,0.7,0,4.4
2011/1/16,-0.9,7,0.4,0.8
2011/1/17,0.7,9.9,0.5,1.9
2011/1/18,4.1,8.7,2.9,2
2011/1/19,3.1,8,21.8,1.7
2011/1/20,3.8,8.4,6.3,0.8
2011/1/21,2.8,4.8,12,2
2011/1/22,2.1,8.1,4.8,1.1
2011/1/23,2.6,13.4,0,0.9
2011/1/24,-5.5,13.2,3,2.1
2011/1/25,2.3,8.7,0.1,6.2
2011/1/26,6.2,8.2,1.3,4.5
2011/1/27,2.7,5.5,0,5.3
2011/1/28,3.4,7.1,0.1,1.1
2011/1/29,7.5,12,0.1,5.5
2011/1/30,6.6,12.6,3.6,1.3
2011/1/31,-6.2,9.4,0.6,1.2
2011/2/1,1.4,2.9,5.6,4
2011/2/2,-3.4,7.9,0.7,2.2
2011/2/3,4.2,8.5,0.1,3.2
2011/2/4,2.6,10.8,0,5.2
2011/2/5,0.4,8.5,0,7
2011/2/6,0.5,4.5,0,7.6
2011/2/7,3.7,8.1,0,7.6
2011/2/8,1.3,10.1,0.1,2.9
2011/2/9,1.3,7.7,3.3,6.9
2011/2/10,-2.7,7.2,0,5.3
2011/2/11,2,11.6,0.3,1.6
2011/2/12,1.7,7.8,5.7,2.5
2011/2/13,7.9,13.1,1.5,1.7
2011/2/14,1.3,2.2,0,3.7
2011/2/15,4,7.7,0.9,2.6
2011/2/16,6.7,9.3,8.5,3.2
2011/2/17,1.1,11.6,5.3,2.2
2011/2/18,2.6,9.1,0.3,8.4
2011/2/19,-0.7,5.9,0,2.8
2011/2/20,7.4,9.5,0.1,6.5
2011/2/21,-0.5,7.4,1.5,3.9
2011/2/22,2.1,11.1,0.9,7.8
2011/2/23,-1.3,9.2,0,6
2011/2/24,6.6,10.3,0.8,5.3
2011/2/25,3.6,5.6,2.2,7.2
2011/2/26,2.6,10,0,5.6
2011/2/27,-11.9,4.6,0,7.5
2011/2/28,-0.9,5.6,0,5.9
2011/3/1,6,11.8,1.1,4
2011/3/2,0.3,15.2,1.6,10.9
2011/3/3,0.6,14,0,2.5
2011/3/4,3.2,6,8.7,8
2011/3/5,0.4,10.1,1.3,7.9
2011/3/6,3,6.9,5.3,4.1
2011/3/7,3,6.2,1.6,5.9
2011/3/8,2.1,7.4,5.9,10.2
2011/3/9,6,8,0,10.2
2011/3/10,5.3,6.7,0,9.3
2011/3/11,-1.4,11.8,0,10.8
2011/3/12,-0.2,9.9,0,10.9
2011/3/13,2.7,11.3,0,10.6
2011/3/14,-0.5,11.9,0,12.3
2011/3/15,0.7,4.1,0,6.3
2011/3/16,-2.1,12.6,0,4.8
2011/3/17,0.8,12.1,0,7.6
2011/3/18,0.7,5.3,0,14.4
2011/3/19,0.9,11.7,0,13.3
2011/3/20,0,11,12.1,3.7
2011/3/21,4,11.1,1.6,4.6
2011/3/22,5.4,10.8,0,12.9
2011/3/23,2.6,6.7,0,2.5
2011/3/24,0.3,14,7.1,7.9
2011/3/25,7.2,11.2,11.3,12.1
2011/3/26,4.7,7.5,0,8.1
2011/3/27,7.8,11.3,0,8.5
2011/3/28,3.1,9.9,4.8,9.6
2011/3/29,4.2,11,0.6,11.5
2011/3/30,2,13.2,0,14.8
2011/3/31,2.5,5.6,0,15.4
2011/4/1,3.3,15.1,0,11.6
2011/4/2,3.2,15.5,0,17.8
2011/4/3,4.9,14.7,0,14.6
2011/4/4,2.8,6.8,0,8.5
2011/4/5,-0.8,12.8,0,16.9
2011/4/6,1.8,19.1,4.6,10.4
2011/4/7,2.6,18.8,1.1,5.2
2011/4/8,3.2,13.6,0,17.9
2011/4/9,3,10.7,1.6,4
2011/4/10,4.7,18.4,2.4,15.7
2011/4/11,4.2,10.1,0,10.3
2011/4/12,3.1,9.5,0,4.6
2011/4/13,7.6,10.5,1.3,6
2011/4/14,-0.3,13.2,0.6,3.2
2011/4/15,-2.3,20.3,0,20.8
2011/4/16,4.8,13.1,0,10.8
2011/4/17,1.3,14.7,0,22.1
2011/4/18,1.9,13.8,0,21.4
2011/4/19,3.5,12.9,0,18.6
2011/4/20,5.6,6,0,19.4
2011/4/21,1.7,12.6,0,23.2
2011/4/22,8.8,15.7,0,11.9
2011/4/23,5.9,10.4,0,23
2011/4/24,5.9,22.3,0,12.9
2011/4/25,0.1,14.7,0,13.2
2011/4/26,6.1,14.9,0,13.3
2011/4/27,9.5,11.5,0,23
2011/4/28,0.4,9.5,0,23.6
2011/4/29,5.5,12.6,0,20.8
2011/4/30,6.5,14.6,0,11.1
2011/5/1,4.9,20.8,0,22.8
2011/5/2,7.5,10.7,0,11.5
2011/5/3,9.3,15.9,0,11.2
2011/5/4,1.8,13.9,0,14.9
2011/5/5,6.1,17.8,2.5,7.6
2011/5/6,5.4,23.7,0,22.5
2011/5/7,6.9,12.7,0.6,13.3
2011/5/8,4.3,10.6,0,16.5
2011/5/9,5.6,19.4,0.5,11
2011/5/10,9.2,16.7,1.6,6.6
2011/5/11,9.3,18.7,0,13.6
2011/5/12,8.8,19.2,0,18.6
2011/5/13,11.2,14.7,0,6.1
2011/5/14,7.9,16,0,16.2
2011/5/15,8.5,15.3,0,26.2
2011/5/16,5.6,15.1,3.9,18.2
2011/5/17,9.3,14.3,8.1,18.5
2011/5/18,13.1,13.9,0.5,10.7
2011/5/19,6.8,21.4,0,16.8
2011/5/20,10.9,18.1,0,23.2
2011/5/21,7.2,19.5,0,24.1
2011/5/22,7,16.7,3.6,21.3
2011/5/23,5.4,14.5,10.2,10.7
2011/5/24,5.9,13.1,0.6,9.9
2011/5/25,4.8,12,1,20.1
2011/5/26,5.5,18.7,0.3,15.5
2011/5/27,12.2,17.6,0,26.1
2011/5/28,7.9,16,1.5,4.3
2011/5/29,4.6,18.8,3.2,8
2011/5/30,8.4,15.1,0.6,11.8
2011/5/31,6.3,22.6,3.5,15.3
2011/6/1,9.3,14.1,0.6,16.3
2011/6/2,10.3,19.6,0,23
2011/6/3,10,21.4,0,20.8
2011/6/4,8.2,20,0,22.6
2011/6/5,13.4,18.4,0,18.7
2011/6/6,5.4,18.5,0,12.4
2011/6/7,10.1,23.7,0,27.5
2011/6/8,9.4,19.8,0,22.3
2011/6/9,10.4,15.3,0.3,16.7
2011/6/10,4.2,17.1,1.3,19
2011/6/11,9.6,18,16.2,17.6
2011/6/12,5.9,19.4,2.7,27
2011/6/13,14.3,19.7,1,23
2011/6/14,14.8,21.4,0,19.8
2011/6/15,6.1,20,0,22.8
2011/6/16,10.1,20.3,2.8,12.7
2011/6/17,10.2,21,4.3,9.7
2011/6/18,12.4,16.7,0,21.6
2011/6/19,13.2,20.9,0,25.4
2011/6/20,5.9,16.9,0,26.9
